survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,22.0,0,0,7.8958,3,Unknown,Southampton,True
1,male,42.0,1,0,52.5542,1,D,Southampton,False
0,male,34.0,1,0,21.0,2,Unknown,Southampton,False
0,male,29.0,1,0,27.7208,2,Unknown,Cherbourg,False
0,male,39.0,0,0,7.925,3,Unknown,Southampton,True
0,male,55.0,0,0,30.5,1,C,Southampton,True
0,male,16.0,1,1,20.25,3,Unknown,Southampton,False
0,male,51.0,0,0,7.0542,3,Unknown,Southampton,True
0,male,21.0,0,0,7.925,3,Unknown,Southampton,True
0,male,28.0,0,0,47.1,1,Unknown,Southampton,True
0,male,49.0,0,0,0.0,3,Unknown,Southampton,True
1,female,40.0,0,0,15.75,2,Unknown,Southampton,True
0,male,31.0,0,0,50.4958,1,A,Southampton,True
1,male,50.0,2,0,133.65,1,Unknown,Southampton,False
1,female,33.0,3,0,15.85,3,Unknown,Southampton,False
1,female,55.0,0,0,16.0,2,Unknown,Southampton,True
0,male,42.0,0,1,8.4042,3,Unknown,Southampton,False
0,male,65.0,0,1,61.9792,1,B,Cherbourg,False
0,male,21.0,0,0,16.1,3,Unknown,Southampton,True
0,male,29.0,1,0,7.0458,3,Unknown,Southampton,False
1,female,5.0,4,2,31.3875,3,Unknown,Southampton,False
1,female,35.0,0,0,135.6333,1,C,Southampton,True
0,male,32.0,0,0,10.5,2,Unknown,Southampton,True
0,male,29.0,0,0,7.875,3,Unknown,Southampton,True
0,male,18.0,1,0,6.4958,3,Unknown,Southampton,False
1,female,26.0,0,0,7.8542,3,Unknown,Southampton,True
0,male,36.0,0,0,40.125,1,A,Cherbourg,True
1,female,34.0,0,0,13.0,2,Unknown,Southampton,True
1,female,19.0,0,0,30.0,1,B,Southampton,True
1,female,41.0,0,0,134.5,1,E,Cherbourg,True
0,female,29.0,1,1,10.4625,3,G,Southampton,False
1,male,18.0,0,0,8.05,3,Unknown,Southampton,True
1,male,35.0,0,0,26.2875,1,E,Southampton,True
0,male,18.0,1,0,108.9,1,C,Cherbourg,False
0,male,36.0,1,0,15.55,3,Unknown,Southampton,False
0,male,25.0,0,0,13.0,2,Unknown,Southampton,True
0,male,29.0,0,0,9.4833,3,Unknown,Southampton,True
1,male,9.0,1,1,15.9,3,Unknown,Southampton,False
1,female,38.0,1,0,71.2833,1,C,Cherbourg,False
0,male,18.0,0,0,8.3,3,Unknown,Southampton,True
1,male,42.0,0,0,26.2875,1,E,Southampton,True
0,male,37.0,2,0,7.925,3,Unknown,Southampton,False
1,female,29.0,0,2,15.2458,3,Unknown,Cherbourg,False
1,female,19.0,0,0,7.8792,3,Unknown,Queenstown,True
1,female,0.75,2,1,19.2583,3,Unknown,Cherbourg,False
1,female,36.0,0,2,71.0,1,B,Southampton,False
0,male,19.0,0,0,14.5,3,Unknown,Southampton,True
1,female,50.0,0,0,10.5,2,Unknown,Southampton,True
0,male,29.0,1,0,21.0,2,Unknown,Southampton,False
0,male,18.0,1,1,20.2125,3,Unknown,Southampton,False
1,male,48.0,1,0,52.0,1,C,Southampton,False
0,male,17.0,0,0,7.125,3,Unknown,Southampton,True
0,male,19.0,0,0,0.0,3,Unknown,Southampton,True
0,female,14.0,0,0,7.8542,3,Unknown,Southampton,True
1,female,24.0,0,2,16.7,3,G,Southampton,False
1,female,48.0,1,2,65.0,2,Unknown,Southampton,False
0,male,58.0,0,0,29.7,1,B,Cherbourg,True
1,female,24.0,3,2,263.0,1,C,Southampton,False
1,male,40.0,0,0,31.0,1,A,Cherbourg,True
0,male,28.0,0,0,10.5,2,Unknown,Southampton,True
0,male,26.0,0,0,7.8875,3,Unknown,Southampton,True
0,male,34.0,1,1,14.4,3,Unknown,Southampton,False
1,female,47.0,1,1,52.5542,1,D,Southampton,False
0,female,41.0,0,5,39.6875,3,Unknown,Southampton,False
1,female,17.0,1,0,108.9,1,C,Cherbourg,False
0,male,52.0,0,0,13.0,2,Unknown,Southampton,True
1,female,22.0,0,0,151.55,1,Unknown,Southampton,True
0,male,44.0,1,0,26.0,2,Unknown,Southampton,False
1,male,35.0,0,0,26.55,1,Unknown,Cherbourg,True
0,male,19.0,0,0,7.8958,3,Unknown,Southampton,True
1,male,0.83,0,2,29.0,2,Unknown,Southampton,False
0,male,44.0,0,0,8.05,3,Unknown,Southampton,True
1,female,45.0,0,0,13.5,2,Unknown,Southampton,True
1,female,24.0,1,0,26.0,2,Unknown,Southampton,False
0,female,8.0,3,1,21.075,3,Unknown,Southampton,False
0,male,28.0,2,0,7.925,3,Unknown,Southampton,False
1,female,39.0,1,1,110.8833,1,C,Cherbourg,False
0,male,45.5,0,0,7.225,3,Unknown,Cherbourg,True
0,male,36.0,0,0,13.0,2,Unknown,Southampton,True
0,male,19.0,0,0,10.5,2,Unknown,Southampton,True
1,male,25.0,1,0,91.0792,1,B,Cherbourg,False
1,female,30.0,0,0,93.5,1,B,Southampton,True
0,male,21.0,0,0,7.8542,3,Unknown,Southampton,True
1,male,28.0,0,0,26.55,1,C,Southampton,True
0,male,1.0,5,2,46.9,3,Unknown,Southampton,False
1,female,15.0,1,0,14.4542,3,Unknown,Cherbourg,False
0,male,17.0,0,0,8.6625,3,Unknown,Southampton,True
0,male,23.0,0,0,7.8542,3,Unknown,Southampton,True
1,male,24.0,0,0,7.1417,3,Unknown,Southampton,True
0,male,56.0,0,0,26.55,1,Unknown,Southampton,True
0,female,20.0,1,0,9.825,3,Unknown,Southampton,False
1,female,25.0,1,1,30.0,2,Unknown,Southampton,False
1,female,33.0,1,0,90.0,1,C,Queenstown,False
1,male,25.0,1,0,7.775,3,Unknown,Southampton,False
0,male,35.0,0,0,7.125,3,Unknown,Southampton,True
1,female,22.0,1,0,66.6,1,C,Southampton,False
0,male,48.0,0,0,7.8542,3,Unknown,Southampton,True
1,male,28.0,0,0,35.5,1,A,Southampton,True
0,male,19.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,26.0,1,2,20.575,3,Unknown,Southampton,False
0,male,23.0,0,0,15.0458,2,Unknown,Cherbourg,True
1,male,45.0,0,0,8.05,3,Unknown,Southampton,True
1,male,8.0,1,1,36.75,2,Unknown,Southampton,False
0,male,20.0,0,0,7.05,3,Unknown,Southampton,True
